id,tag_name
0,Female body
0,Techwear Outfit
0,figma
0,Max Factory
0,Yuki
0,action-figure
1,Azone International
1,Character Series No.132
1,Marisa Kirisame
1,Touhou Project
1,1/6
1,Pure Neemo
1,action-figure
2,NieR Replicant
2,NieR
2,Square Enix
2,Boy NieR
2,BRING ARTS
2,NieR Replicant ver.1.22474487139...
2,action-figure
3,Plastic Model
3,Good Smile Company
3,MODEROID
3,DARLING in the FRANXX
3,Strelitzia
3,action-figure
4,Demon Slayer
4,Kimetsu no Yaiba
4,figma
4,Max Factory
4,Zenitsu Agatsuma
4,Demon Slayer: Kimetsu no Yaiba
4,action-figure
5,DX Edition
5,Demon Slayer
5,figma
5,Kimetsu no Yaiba
5,Zenitsu Agatsuma
5,Max Factory
5,action-figure
6,Hokuto no Ken
6,Fist of the North Star
6,Medicos Entertainment
6,Super Action Statue
6,Jagi
6,action-figure
7,Super Action Statue
7,JoJo's Bizarre Adventure Part.5
7,Medicos Entertainment
7,M.B
7,JoJo's Bizarre Adventure
7,action-figure
8,Leone Abbacchio
8,Super Action Statue
8,JoJo's Bizarre Adventure Part.5
8,JoJo's Bizarre Adventure
8,action-figure
9,PLAMAX GP-03
9,Maidroid Chloe
9,Guilty Princess
9,Max Factory
9,action-figure
10,Bun-chan
10,Snail Shell Studio
10,BEE-03W
10,1/12
10,action-figure
11,Samurai Shodown
11,Nakoruru
11,Action Figure
11,Storm Collectibles
11,action-figure
12,Sentinel
12,Fighting Armor
12,Deadpool
12,Marvel Comics
12,action-figure
13,Megami Device
13,Plastic Model
13,Alice Gear Aegis
13,Megami Device x Alice Gear Aegis
13,Jin-ai
13,Kotobukiya
13,Aika Aikawa
13,action-figure
14,figma
14,Cyberpunk
14,Max Factory
14,V
14,Cyberpunk 2077
14,action-figure
15,Sakura Saber
15,figma
15,Souji Okita
15,Majin Saber
15,Max Factory
15,Souji Okita Alter
15,Fate
15,Fate/Grand Order
15,action-figure
16,Bloodborne
16,figma PLUS
16,figma
16,The Old Hunters Edition
16,Bloodborne The Old Hunters
16,Hunter Weapon Set
16,action-figure
17,Max Factory
17,The Old Hunters Edition
17,figma
17,Bloodborne
17,The Old Hunters
17,action-figure
18,Girls Body
18,1/6
18,Small Bust
18,TB League
18,Female Seamless Body
18,S45 w/Head
18,Super Flexible
18,action-figure
19,Girls Body
19,S44 w/Head
19,Body Pale
19,Super Flexible Female
19,TB League
19,Female Seamless
19,1/6
19,Small Bust
19,action-figure
20,DX Edition
20,Yuru Camp
20,figma
20,Laid-Back Camp
20,Nadeshiko Kagamihara
20,Max Factory
20,action-figure
21,Max Factory
21,figma
21,Yuru Camp
21,Laid-Back Camp
21,Nadeshiko Kagamihara
21,action-figure
22,JoJo's Bizarre Adventure
22,Super Action Statue
22,Statue JoJo's Bizarre Adventure Part 2
22,Medicos Entertainment
22,Caesar Antonio Zeppelie
22,action-figure
23,Super Action Statue
23,Medicos Entertainment
23,JoJo's Bizarre Adventure Part 2
23,Joseph Joestar
23,JoJo's Bizarre Adventure
23,action-figure
24,Asra Tamamo-no-mae
24,Megami Device
24,Kotobukiya
24,1/1
24,Plastic Model
24,action-figure
25,Max Factory
25,ARMS NOTE
25,figma
25,ToshoIincho-san
25,action-figure
26,St. Iris Gakuen Girls' High School Summer Clothes
26,Kotobukiya
26,Sousai Shoujou Teien
26,1/10
26,Ritsuka Saiki
26,action-figure
27,Good Smile Company
27,Senki Zessho Symphogear GX
27,Senki Zessho Symphogear
27,ACT MODE
27,Hibiki Tachibana
27,action-figure
28,EVA Unit-01 Color Ver
28,Godzilla
28,Plastic Model
28,EVA Unit-01
28,Godzilla vs. Evangelion
28,Type-3
28,EVA GLOBAL
28,Evangelion
28,action-figure
29,Rumi Posable
29,Plastic Model
29,Mito Nagishiro
29,Good Smile Company
29,Original Character
29,ACT MODE
29,action-figure
30,Bondrewd
30,figma
30,Made in Abyss
30,Max Factory
30,Dawn of the Deep Soul
30,action-figure
31,Made in Abyss
31,Ascending to the Morning Star
31,figma
31,Bondrewd
31,Dawn of the Deep Soul
31,Max Factory
31,action-figure
32,Max Factory
32,Attack ON Titan
32,Armin Arlert
32,#EX-017
32,Shingeki no Kyojin
32,Figma
32,action-figure
33,My Hero Academia
33,Plastic Model
33,MODEROID
33,Good Smile Company
33,Katsuki Bakugo
33,Boku no Hero Academia
33,action-figure
34,Boku no Hero Academia
34,Plastic Model
34,Izuku Midoriya
34,My Hero Academia
34,MODEROID
34,Good Smile Company
34,action-figure
35,Max Factory
35,figma
35,Levi
35,Levi Ackerman
35,Attack on Titan
35,Shingeki no Kyojin
35,action-figure
36,Levi
36,Attack On Titan
36,Cleaning ver.
36,#EX-020
36,Max Factory
36,Figma
36,Shingeki no Kyojin
36,action-figure
37,Snail Shell Studio
37,1/12
37,Uncoded Wolf
37,Armor Alternative
37,G.N.PROJECT
37,Wolf Armor Alternative
37,action-figure
38,APEX
38,Punishing: Gray Raven
38,Lucia Dawn
38,1/8
38,Lucia
38,action-figure
39,Sam Porter Bridges
39,figma
39,Death Stranding
39,Max Factory
39,action-figure
40,figma
40,Death Stranding
40,DX Edition
40,Sam Porter Bridges
40,Max Factory
40,action-figure
41,figma
41,uniform
41,Rikka Shiina
41,LittleArmory
41,summer
41,Tomytec
41,02/2018
41,action-figure
42,THE IDOLM@STER
42,2/2013
42,Max Factory
42,Rin Shibuya
42,Figma
42,action-figure
43,Bandai Spirits
43,S.H.Figuarts
43,Ultraman
43,action-figure
44,Plastic Model
44,Max Factory
44,PLAMAX
44,PLAMAX GP-01
44,Guilty Princess Maidroid Miao
44,action-figure
45,Marnie
45,figma
45,Good Smile Company
45,Pokemon
45,action-figure
46,Touou High School
46,Sousai Shoujo Teien
46,Yuuki Madoka
46,Kotobukiya
46,Winter Uniform
46,Plastic Model
46,action-figure
47,Square Enix
47,9S
47,NieR:Automata
47,Regular Edition
47,action-figure
48,9S
48,YoRHa No.9 Type S
48,NieR:Automata
48,Square Enix
48,DX
48,action-figure
49,Body Zero
49,Posable Figure
49,1/12
49,BMS VSD003
49,VTOYS
49,action-figure
50,Souji Okita Alter
50,Max Factory
50,Alter
50,figma
50,Fate/Grand Order
50,Fate
50,Souji Okita
50,Majin Saber
50,Sakura Saber
50,action-figure
51,Medicos Entertainment
51,Gyro Zeppeli
51,Steel Ball Run
51,Super Action Statue
51,JoJo's Bizarre Adventure Part.7
51,JoJo's Bizarre Adventure
51,Ver. 1.5
51,action-figure
52,Square Enix
52,PLAY ARTS Kai
52,NieR:Automata
52,DX Ver
52,YoRHa Model A No. 2
52,action-figure
53,NieR:Automata
53,Square Enix
53,PLAY ARTS Kai
53,YoRHa Model A No. 2
53,action-figure
54,B
54,figma
54,Max Factory
54,A-Z
54,action-figure
55,Robot Spirits
55,SIDE BH
55,Biheight Gigan
55,Bandai Spirits
55,Back Arrow
55,action-figure
56,Elsha Lean
56,Back Arrow
56,S.H.Figuarts
56,Bandai Spirits
56,action-figure
57,Briheight Gigan
57,Back Arrow
57,Bandai Spirits
57,SIDE BH
57,Elsha Lean
57,Robot Spirits
57,S.H.Figuarts
57,action-figure
58,SIDE BH
58,Biheight Muga
58,Robot Spirits
58,Bandai Spirits
58,Back Arrow
58,action-figure
59,Bandai Spirits
59,S.H.Figuarts
59,Back Arrow
59,action-figure
60,Bandai Spirits
60,Back Arrow
60,Robot Spirits
60,SIDE BH
60,Briheight Muga Set
60,S.H.Figuarts
60,action-figure
61,Son Goku
61,S.H.Figuarts
61,Super Saiyan
61,Dragon Ball Z
61,Bandai Spirits
61,Full Power
61,Super Saiyan Full Power
61,action-figure
62,Betty
62,Daibadi Production
62,Model
62,Polynian
62,Action Figure
62,Robot Neoanthropinae Polynian
62,action-figure
63,4Pack BOX
63,So-ta
63,1/12
63,Yamato Manekin
63,nude2
63,action-figure
64,figma
64,Rimuru
64,That Time I Got Reincarnated as a Slime
64,Tensei shitara Slime datta ken
64,Max Factory
64,action-figure
65,Azone International
65,1/12
65,Assault Lily
65,058 Custom Lily
65,058 Custom
65,Yujia Wang
65,action-figure
66,Demon Slayer: Kimetsu no Yaiba
66,Demon Slayer
66,Shrunk Nezuko
66,DOLPokke
66,Kimetsu no Yaiba
66,Azone International
66,action-figure
67,Yumi Yotsuya
67,Max Factory
67,figma
67,Alice Gear Aegis
67,action-figure
68,Bandai
68,Naruto Shippuuden
68,Uchiha Madara
68,S.H.Figuarts
68,action-figure
69,Dai
69,Max Factory
69,Dragon Quest: The Adventure of Dai
69,figma
69,action-figure
70,Gray Color
70,Body-kun
70,S.H.Figuarts
70,Bandai Spirits
70,Wire Frame
70,action-figure
71,Gray Color
71,Body-chan
71,S.H.Figuarts
71,Bandai Spirits
71,Wire Frame
71,action-figure
72,Bandai Spirits
72,Marvel Comics
72,Avengers
72,S.H.Figuarts
72,AVENGERS ASSEMBLE
72,Hulk
72,action-figure
73,AVENGERS ASSEMBLE
73,Steve Rogers
73,Marvel Comics
73,S.H.Figuarts
73,Bandai Spirits
73,Avengers
73,Captain America
73,action-figure
74,Iron Man
74,Bandai Spirits
74,Mark.6
74,S.H.Figuarts
74,Marvel Comics
74,BATTLE DAMAGE
74,Avengers
74,action-figure
75,Amazing Yamaguchi
75,Takara Tomy
75,Boku no Hero Academia
75,Figure Complex
75,No.022
75,My Hero Academia
75,Katsuki Bakugo
75,action-figure
76,DX Edition
76,Kimetsu no Yaiba
76,Max Factory
76,figma
76,Demon Slayer
76,Nezuko Kamado
76,action-figure
77,Kimetsu no Yaiba
77,figma
77,Demon Slayer
77,Nezuko Kamado
77,Max Factory
77,action-figure
78,Max Factory
78,Jin Sakai
78,figma
78,Ghost of Tsushima
78,action-figure
79,Haou Mazin Set
79,Good Smile Company
79,Mazinkaiser
79,HAGANE WORKS
79,action-figure
80,Satoru Gojo
80,Jujutsu Kaisen
80,Bandai Spirits
80,S.H.Figuarts
80,action-figure
81,PROPLICA
81,Jujutsu Kaisen
81,Bandai Spirits
81,High Grade Cursed Object Double-Faced Specter's Finger
81,S.H.Figuarts
81,Yuji Itadori
81,action-figure
82,Bandai Spirits
82,Jujutsu Kaisen
82,S.H.Figuarts
82,Yuji Itadori
82,action-figure
83,Pearl
83,Marina
83,Splatoon 2
83,figma
83,Off the Hook
83,Splatoon
83,action-figure
84,YoRHa No.9 Type S
84,Square Enix
84,NieR:Automata
84,PLAY ARTS Kai
84,NieR
84,action-figure
85,YoRHa No.9 Type S
85,NieR:Automata
85,NieR
85,PLAY ARTS Kai
85,Square Enix
85,DX Edition
85,action-figure
86,Kotobukiya
86,Frame Arms Girl
86,Plastic Model
86,Shiki Rokkaku
86,action-figure
87,Chocobo
87,BRING ARTS
87,Final Fantasy
87,Final Fantasy XI
87,Action Figure
87,Square Enix
87,action-figure
88,Square Enix
88,BRING ARTS
88,Chocobo
88,Shantotto
88,Action Figures
88,Final Fantasy XI
88,action-figure
89,figma
89,UMP9
89,Girls' Frontline
89,Max Factory
89,action-figure
90,Backless Sweater
90,figma
90,Chiaki
90,Female body
90,Max Factory
90,Backless Sweater Coordination
90,action-figure
91,Custom Lily
91,1/12
91,Assault Lily
91,Series 057
91,Azone International
91,Shenlin Kuo
91,action-figure
92,LittleArmory
92,figma
92,Ai Nishibe
92,Max Factory
92,action-figure
93,Gattai Robot Atranger
93,Gattai Atranger
93,No.GR-01
93,Plastic Model
93,Aoshima
93,ACKS
93,action-figure
94,figma
94,Brave
94,Max Factory
94,Alice Gear Aegis
94,Yotsuyu Hirasaka
94,action-figure
95,Ghost in the Shell
95,Ghost in the Shell: SAC_2045
95,Max Factory
95,figma
95,Motoko Kusanagi
95,SAC_2045
95,action-figure
96,Ortinax
96,Mash Kyrielight
96,Mashu Kyrielite
96,figma
96,Fate/Grand Order
96,Fate
96,Shielder
96,Max Factory
96,action-figure
97,Ryoubu High School
97,Sousai Shojo Teien Koyomi Takanashi
97,Kotobukiya
97,Winter Uniform
97,1/10
97,Sousai Shojo
97,action-figure
98,DC Comics
98,Yamaguchi No.021
98,Figure Complex Amazing
98,Kaiyodo
98,JOKER
98,action-figure
99,Sangoku
99,Gomora Kick
99,JP Ver
99,1/10
99,Shoujoden Shoukonki
99,Chouun x Joukou
99,Plastic Model
99,action-figure
100,Dio Brando
100,DIO
100,Medicos Entertainment
100,Super Action Statue
100,Awakened Version
100,JoJo's Bizarre Adventure Part.3
100,action-figure
101,Raoh
101,Hokuto no Ken
101,Medicos Entertainment
101,Fist of the North Star
101,Super Action Statue
101,action-figure
102,Good Smile Company
102,chitocerium
102,1/1
102,XXII-tanio alb
102,Plastic Model
102,action-figure
103,XXII-tanio atr
103,Plastic Model
103,chitocerium
103,Good Smile Company
103,1/1
103,action-figure
104,C-efer
104,Good Smile Company
104,chitocerium
